Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
15.380023,-0.937165422,0.059029392,-0.199053631,-0.115442148,-0.83435143,0.558111188,0.145222053,-0.382373661,-0.036238898,1.770019531,-2.197265625,-2.868652344
15.39002,-0.930575931,0.060981849,-0.182213697,-0.116784922,-0.838868031,0.555669781,0.002398162,-0.399693698,0.127102599,-1.037597656,-2.014160156,-2.990722656
15.400021,-0.929599703,0.057809105,-0.171963278,-0.117395273,-0.838990102,0.55115318,-0.086600304,-0.435133219,0.110315464,-0.48828125,-2.075195313,-2.9296875
15.41002,-0.936189194,0.057809105,-0.176844418,-0.117639414,-0.838623891,0.555791852,-0.117509954,-0.438064337,0.079672284,2.9296875,-2.44140625,-2.685546875
15.42002,-0.940338212,0.061958079,-0.177332532,-0.116540781,-0.837036977,0.555791852,-0.140159264,-0.402891248,0.131366,4.211425781,-2.44140625,-2.624511719
15.43002,-0.932040273,0.055124475,-0.169766765,-0.11617457,-0.83459557,0.555669781,-0.147886679,-0.362122506,0.157745793,2.868652344,-2.44140625,-2.807617188
15.440013,-0.925694693,0.044141898,-0.167326194,-0.11593043,-0.836060414,0.55530357,-0.107650839,-0.316557437,0.016254211,1.525878906,-2.319335938,-2.9296875
15.450021,-0.928379369,0.039016696,-0.171231107,-0.116662852,-0.837159047,0.554327008,-0.033307809,-0.226493105,-0.213969365,1.220703125,-2.258300781,-2.868652344
15.46002,-0.924474457,0.044141898,-0.170742993,-0.114831797,-0.836426625,0.554449078,0.043699846,-0.11298009,-0.404490054,1.708984375,-2.319335938,-2.746582031
15.47002,-0.918128974,0.047314643,-0.159760427,-0.115198008,-0.836304555,0.5551815,0.116444103,-0.03650536,-0.568630934,2.319335938,-2.319335938,-2.807617188
15.480021,-0.90958693,0.042433498,-0.149754065,-0.115198008,-0.837769398,0.555913922,0.189721286,-0.011191424,-0.77807045,2.807617188,-2.44140625,-2.807617188
15.49002,-0.915932412,0.049267101,-0.157075799,-0.115198008,-0.836670766,0.555425641,0.232355282,-0.009326187,-0.872931063,3.112792969,-2.44140625,-2.685546875
15.500014,-0.930331825,0.048290872,-0.170742993,-0.115686289,-0.836060414,0.556768414,0.20624195,-0.009592649,-0.608333826,3.295898438,-2.319335938,-2.746582031
15.510023,-0.918617088,0.020712401,-0.166594023,-0.11617457,-0.835694203,0.557256695,0.130300149,0.017852986,-0.322686076,2.9296875,-2.319335938,-2.746582031
15.52002,-0.900800877,0.008265483,-0.157563913,-0.116906992,-0.834961781,0.555791852,0.075142421,0.005329249,-0.358125567,2.685546875,-2.319335938,-2.746582031
15.53003,-0.899336535,0.016075313,-0.156099571,-0.11617457,-0.834961781,0.557622906,0.045565084,-0.008260337,-0.499084204,2.685546875,-2.319335938,-2.746582031
